400014, 20180227 16:00:00,  AAPL  190118C00115000@SMART Trades
400016, 20180223 16:00:00,  AAPL  190118C00115000@SMART Trades
400018, 20180221 16:00:00,  AAPL  190118C00115000@SMART Trades
400020, 20180219 16:00:00,  AAPL  190118C00115000@SMART Trades
400021, 20180216 16:00:00,  AAPL  190118C00115000@SMART Trades
400023, 20180214 16:00:00,  AAPL  190118C00115000@SMART Trades
400028, 20180207 16:00:00,  AAPL  190118C00115000@SMART Trades
400038, 20180124 16:00:00,  AAPL  190118C00115000@SMART Trades
400040, 20180122 16:00:00,  AAPL  190118C00115000@SMART Trades
400043, 20180117 16:00:00,  AAPL  190118C00115000@SMART Trades
400044, 20180116 16:00:00,  AAPL  190118C00115000@SMART Trades
400047, 20180111 16:00:00,  AAPL  190118C00115000@SMART Trades
400048, 20180110 16:00:00,  AAPL  190118C00115000@SMART Trades
400050, 20180108 16:00:00,  AAPL  190118C00115000@SMART Trades
400052, 20180104 16:00:00,  AAPL  190118C00115000@SMART Trades
400055, 20180101 16:00:00,  AAPL  190118C00115000@SMART Trades
400056, 20171229 16:00:00,  AAPL  190118C00115000@SMART Trades
400058, 20171227 16:00:00,  AAPL  190118C00115000@SMART Trades
400060, 20171225 16:00:00,  AAPL  190118C00115000@SMART Trades
400061, 20171222 16:00:00,  AAPL  190118C00115000@SMART Trades
400062, 20171221 16:00:00,  AAPL  190118C00115000@SMART Trades
400065, 20171218 16:00:00,  AAPL  190118C00115000@SMART Trades
400070, 20171211 16:00:00,  AAPL  190118C00115000@SMART Trades
400072, 20171207 16:00:00,  AAPL  190118C00115000@SMART Trades
400073, 20171206 16:00:00,  AAPL  190118C00115000@SMART Trades
400074, 20171205 16:00:00,  AAPL  190118C00115000@SMART Trades
400077, 20171130 16:00:00,  AAPL  190118C00115000@SMART Trades
500001, 20171124 16:00:00,  AAPL  190118C00120000@SMART Trades
500009, 20180306 16:00:00,  AAPL  190118C00120000@SMART Trades
500024, 20180213 16:00:00,  AAPL  190118C00120000@SMART Trades
500072, 20171207 16:00:00,  AAPL  190118C00120000@SMART Trades
600001, 20171121 16:00:00,  AAPL  190118C00125000@SMART Trades
600007, 20180308 16:00:00,  AAPL  190118C00125000@SMART Trades
600008, 20180307 16:00:00,  AAPL  190118C00125000@SMART Trades
600009, 20180306 16:00:00,  AAPL  190118C00125000@SMART Trades
600013, 20180228 16:00:00,  AAPL  190118C00125000@SMART Trades
600017, 20180222 16:00:00,  AAPL  190118C00125000@SMART Trades
600019, 20180220 16:00:00,  AAPL  190118C00125000@SMART Trades
600027, 20180208 16:00:00,  AAPL  190118C00125000@SMART Trades
600048, 20180110 16:00:00,  AAPL  190118C00125000@SMART Trades
600060, 20171225 16:00:00,  AAPL  190118C00125000@SMART Trades
600061, 20171222 16:00:00,  AAPL  190118C00125000@SMART Trades
600062, 20171221 16:00:00,  AAPL  190118C00125000@SMART Trades
600069, 20171212 16:00:00,  AAPL  190118C00125000@SMART Trades
600071, 20171208 16:00:00,  AAPL  190118C00125000@SMART Trades
700001, 20171121 16:00:00,  AAPL  190118C00130000@SMART Trades
700014, 20180227 16:00:00,  AAPL  190118C00130000@SMART Trades
700067, 20171214 16:00:00,  AAPL  190118C00130000@SMART Trades
1100001, 20171121 16:00:00,  AAPL  190118C00080000@SMART Trades
